Feature ID	WT_01	WT_02	Mu_01	Mu_02
AT1G04120	8.448755227	9.71485827	10.10123472	9.99415657
AT1G04130	5.825230143	5.515437713	3.907147746	3.504449607
AT1G04140	41.19260603	31.00990607	35.63860777	33.40275322
AT1G04150	0	0	0	0
AT1G04160	1.31918654	2.62316983	1.708194428	1.903992163
AT1G04170	36.74287074	50.03459412	34.10480265	35.14585824
AT1G04171	0	0	0	0
AT1G04180	0.62626602	0.225828419	0.727222776	0.677225649
AT1G04190	19.00981354	18.45381527	13.491377	12.74697062
AT1G04200	11.83528811	11.08054815	10.42005008	10.05705887
AT1G04210	9.820002989	10.8268109	9.484852753	9.571716349
AT1G04220	0.998245137	0.818154989	1.331786538	1.341639433
AT1G04230	7.969305122	6.233258254	6.345536993	6.931842545
AT1G04240	43.3444135	28.67673836	52.48980006	57.98270329
AT1G04250	9.291375029	16.87457566	10.32765542	12.45562509
AT1G04260	12.34329279	11.61766799	13.67989519	12.02156341
AT1G04270	190.0712071	274.6697279	156.6242564	147.1814502
AT1G04280	15.54339958	6.480111755	15.13483732	12.09964765
AT1G04290	11.93851522	10.94349392	10.48400602	11.64076531
AT1G04295	0	0	0	0
AT1G04300	20.99152487	15.25471821	17.15503855	16.52857702
AT1G04310	0.602479223	0.657938804	0.925834277	0.6652988
AT1G04320	0	0	0	0
AT1G04330	0.036302783	0.201526395	0.176778808	0.212640791
AT1G04340	15.60209109	14.08227513	15.55485553	12.81299667
AT1G04350	36.61009965	24.47792065	25.11238463	30.28099116
AT1G04360	0.171557456	0.190472204	0.584787282	0.502442376
AT1G04370	0	0.07486221	0	0
AT1G04380	0.085631526	0.1056363	0.023166022	0.055731128
AT1G04390	3.926894405	3.173483573	3.528873653	3.349848298
AT1G04400	84.50489832	63.73680875	79.90655585	81.30652198
AT1G04410	609.2620728	555.9999157	480.9851185	467.5609916
AT1G04420	62.38510583	94.25838859	70.45793719	84.72665004
AT1G04425	0	0	0	0
AT1G04430	37.73081788	49.23209232	47.02809508	51.71315567
AT1G04440	37.30560861	30.32324727	34.25379007	29.71882241
AT1G04445	0	0.028992879	0	0
AT1G04450	0	0	0	0
AT1G04470	0	0	0	0
AT1G04480	69.10167519	101.2906491	59.8101635	54.19189948
AT1G04490	0.225883983	0.204346106	0.146660937	0.110258188
AT1G04500	0.075481034	0.018622901	0.07351198	0.044212442
AT1G04501	0	0	0	0
AT1G04510	22.5783944	26.57322104	19.84904845	19.59676987
AT1G04520	1.935745902	3.681010644	3.766380932	3.416399244
AT1G04530	53.33802505	41.09071514	47.49178377	39.687076
AT1G04540	2.66107842	2.082960152	1.644454031	1.542882022
AT1G04550	11.09362976	9.253227255	8.342131009	8.725604891
AT1G04555	6.300214611	5.368314042	5.281902287	4.375101269
AT1G04560	0	0	0.034735485	0.04178205
AT1G04570	3.454449008	2.480666676	2.225494456	2.990817458
AT1G04580	0.005944315	0.003666497	0	0
AT1G04590	12.64850136	11.92218036	9.48255639	9.425974951
AT1G04600	2.804563008	0.962007505	1.05229858	0.316442911
AT1G04610	0.0140446	0	0.017097778	0
AT1G04620	38.9281353	31.46934643	33.31659779	34.50252126
AT1G04625	0.015759348	0.019440961	0	0
AT1G04630	26.62217082	30.86212177	26.03133207	25.12643511
AT1G04635	1.234081703	2.007778118	2.003147553	1.833325299
AT1G04640	24.681802	23.04192034	19.33445596	19.93033221
AT1G04645	0	0.365521558	0.360714654	0.072315087
AT1G04650	1.656336482	1.352457339	1.113826517	1.15498393
AT1G04660	0	0.070096137	0.138348633	0.027735755
AT1G04670	0	0	0	0
AT1G04680	16.1304422	25.51703525	26.47104078	23.96438499
AT1G04684	0	0	0	0
AT1G04690	72.76401549	63.57087217	63.93121276	60.56610846
AT1G04700	0.222861346	0.274925011	0.16813548	0.294173159
AT1G04710	14.62963463	12.66049038	10.83681804	11.82576098
AT1G04720	0	0	0	0
AT1G04730	1.043969111	2.565408237	1.962299241	2.286998666
AT1G04750	69.52299683	66.94283039	65.35239665	60.9579783
AT1G04760	1.14066301	1.339051198	1.164660385	1.508691226
AT1G04770	14.35571687	19.07851114	11.25903784	13.2722249
AT1G04778	0.199309397	0.196696786	0.388220128	0
AT1G04780	19.32885103	15.09505651	18.57748301	18.06337036
AT1G04790	11.3123726	8.934953658	8.59669084	8.263144914
AT1G04800	46.04462397	96.96951323	87.6738205	74.18540628
AT1G04810	16.24645477	15.38360752	14.36953832	14.45777559
AT1G04820	138.4654227	190.9143279	182.9016042	202.7416946
AT1G04830	9.298222798	7.458825871	8.564946705	8.165923714
AT1G04840	0.604392279	0.57990111	0.327014252	0.446992655
AT1G04850	54.53698087	45.49585408	47.04991023	39.81154714
AT1G04860	11.40905766	9.500316654	9.305868178	9.458720285
AT1G04870	12.76597674	15.73869271	12.41400132	9.005005055
AT1G04880	0.084546368	0.037926412	0.112282948	0.022510178
AT1G04890	0	0	0	0
AT1G04900	4.670874338	6.256693357	2.363575486	2.286808235
AT1G04910	19.40228278	15.33196149	17.32302269	16.06907354
AT1G04920	0.239102331	0.303635425	0.359570848	0.247151246
AT1G04930	2.597104704	2.477625663	2.95091382	2.586098369
AT1G04945	10.72889788	12.12675408	7.274771905	5.985114633
AT1G04940	30.96595491	41.4528106	35.49246233	38.98838048
AT1G04950	10.0593409	8.236351213	9.878396781	8.391153804
AT1G04960	13.1478283	10.51237665	13.00770036	11.40845239
AT1G04970	19.79494034	12.53942011	15.38036802	12.29931997
AT1G04980	14.71691579	19.29795502	10.83178024	2.018285478
AT1G04985	31.40947496	26.39718409	21.41426919	18.92310318
AT1G04990	39.65259368	22.5709562	24.67362807	20.58288819
AT1G05000	0.447250287	0.313485503	0.717721962	0.416775951
AT1G05010	226.2661974	366.9269669	188.3394167	159.0278745
AT1G05020	0.399180229	0.935002328	0.418293518	0.355164735
AT1G05030	15.45457836	13.98155915	13.12157846	15.14088496
AT1G05040	0.146960664	0.045323205	0.029818112	0.179335607
AT1G05055	6.123328245	7.07102594	6.451953835	5.659428979
AT1G05060	30.37857501	18.03872624	20.82775779	18.77186959
AT1G05065	3.291452327	3.16471079	2.592755856	5.670421106
AT1G05070	20.68190659	17.72390555	17.30456915	16.57870782
AT1G05080	0	0	0	0
AT1G05085	0	0	0	0
AT1G05090	4.451224404	3.34148055	4.788780393	3.250667149
AT1G05100	0.326040089	0.283911399	0.070044434	0.112338531
AT1G05120	9.732282961	7.377641976	7.090312542	6.828175338
AT1G05136	0.173017519	0.213436938	0.421260139	0
AT1G05140	49.68818927	44.9723934	37.70906366	40.41105077
AT1G05150	8.95231145	8.844320779	10.90873072	11.03557213
